track_id,item_id,cluster_5f
0V9cosR5jWa4fr2koARmhD,325,1
0VKkyBKCXyR99navhVRqcP,326,0
0VO8gYVDSwM1Qdd2GsMoYK,327,1
0VQ3GSPdl4njPOr3lyaoaD,328,1
0VSzREd1OjEWJ9tXoFHRQH,329,1
0VTfHLWzaUUb2Lbw84xOdX,330,0
0VgkVdmE4gld66l8iyGjgx,331,1
0VhgEqMTNZwYL1ARDLLNCX,332,1
0VjIjW4GlUZAMYd2vXMi3b,333,1
0VtxQUpwnkeedz0QhhuOgA,334,0
0Vz146N2GxkVJw4kSGXrNi,335,0
0W6I02J9xcqK8MtSeosEXb,336,0
0WCEaydwN65cvwaW8aqptF,337,1
0WCxpmafw3tOlUmiilGbsy,338,0
0WFryfbNKPXVtVQlz5dZ8H,339,2
0WIv5qV41y6YjjB9V1biuC,340,1
0WSEq9Ko4kFPt8yo3ICd6T,341,1
0WSa1sucoNRcEeULlZVQXj,342,1
0WdR2AyLW1Drd3OUdwezM0,343,0
0WoVfPjxsf9MTvPt9ptqeE,344,0
0WtM2NBVQNNJLh6scP13H8,345,0
0Wv5wuenRLI3BcwgT3HPIP,346,0
0X8DcetL926BYiPJYstJTc,347,1
0XER3HPMx223xWaAgNKp4Y,348,2
0XLOf9LhyazPX9Ld8jPiUq,349,1
0XOnMqLQDO89iAg7dWWwnG,350,2
0XPsOSYzDJZJArevQNm2AR,351,2
0Xek5rqai2jcOWCYWJfVCF,352,0
0XfOi87h82i09rQjWYG0Bm,353,0
0XinBYhf1X3kdvKQHOX971,354,0
0XkmeG97T4mtYlWRJcrxec,355,2
0XySogm94T51XF5F2jumXm,356,1
0Y4hwUppbGc8aIBmiTz30A,357,0
0YFqKxV9uNu6LUeYkLOKRS,358,2
0YHUITU3w6ws1v8ehT264g,359,0
0YWUHZPJVg4iujddsJDwhM,360,0
0YammaEkYSeo9vQYZ1OwS6,361,0
0YeUVm23SAkUruwEx9LWnt,362,0
0YkUwXxnTkeJBvt5upeEtP,363,2
0YqTL3nSL36OFdHwHoqCag,364,0
0YwBZKT8JE4U5TwmYE9BV9,365,1
0Z0kNthq0sS4lvGz9SSlBF,366,0
0Z5ok0QLLttAKsujOZYOXf,367,1
0Z9HQ8YvHqdeOjTwsR3cS7,368,1
0ZExP2I5Ej92PsnG4G1jVG,369,0
0ZNU020wNYvgW84iljPkPP,370,2
0Zbbxnx4SGGHoIow4PpISP,371,1
0ZoHHROTzwIYeNAHRPedTY,372,0
0Zp10WiPeEi6EUJZvWcNT9,373,2
0Zx8khUcEfCFK2AEoIhC92,374,1
0ZxhtATQ0a6EvQNZ0z6NKV,375,0
0a4MMyCrzT0En247IhqZbD,376,0
0a4SMs889NwP8oWI7Vemle,377,1
0ada5XsQGLPUVbmTCkAP49,378,0
0afhq8XCExXpqazXczTSve,379,0
0aoUM0zcu0kCX7Cv7O939I,380,0
0as7lPxkBPctZ7uVmchRNM,381,1
0azC730Exh71aQlOt9Zj3y,382,1
0b18g3G5spr4ZCkz7Y6Q0Q,383,0
0b93tWwuoAC0nXe1CfR30I,384,0
0b9oOr2ZgvyQu88wzixux9,385,0
0bAkKNCQfWkexHFn7fIKns,386,1
0bI7K9Becu2dtXK1Q3cZNB,387,0
0bMbDctzMmTyK2j74j3nF3,388,2
0bYVPJvXr8ACmw313cVvhB,389,1
0bYg9bo50gSsH3LtXe2SQn,390,1
0bcEHhsuLRDm712CQHomdm,391,1
0bhnUFDQFCEHCBlsQfHnj5,392,1
0bjgQ24UZGwKikldIyEOgf,393,1
0bkV1iQHSxBaksUqgEkcbc,394,1
0bzbvANY6oETSJLc0wlVGY,395,2
0cDwUAF7yQrOLRcFfJpSc2,396,1
0cGpKQ8RxxLOFqhktEURIj,397,2
0cNSq9T5l8gZnpY14rsTR2,398,0
0cOa970mzTWAxKtltpkpLc,399,0
0cVyQfDyRnMJ0V3rjjdlU3,400,0
0caJ2wkqp4UmXBwdR2JvB5,401,0
0cqRj7pUJDkTCEsJkx8snD,402,0
0ct6r3EGTcMLPtrXHDvVjc,403,0
0d2iYfpKoM0QCKvcLCkBao,404,2
0dIoGTQXDh1wVnhIiSyYEa,405,1
0dKg2vGC1hFqcK5LGTaKzX,406,0
0dS2u2UFd88TIzDDaZDLvS,407,2
0dSIrRkA4PadGll16TgbnV,408,1
0dbTQYW3Ad1FTzIA9t90E8,409,0
0dcnrLo8s1rhjm8euGjI4n,410,2
0dyiHoYbYjYaOEXLpmzQZG,411,1
0e5UZadoZ5me957hKsxRYh,412,2
0e7ipj03S05BNilyu5bRzt,413,1
0e8nrvls4Qqv5Rfa2UhqmO,414,0
0eFMbKCRw8KByXyWBw8WO7,415,1
0eHCArTPhwUxatY7cEXRiK,416,0
0ecC8p17cDNlxHXkuYqeR6,417,2
0eeKDrQxjqNl5bX5VCHDcn,418,0
0eeeyCAGnGZInPtpkdYiPa,419,1
0eu4C55hL6x29mmeAjytzC,420,0
0evt4UZbdhnHtcAnxkm6A1,421,0
0ezwvY7TkCwDEkKR49084k,422,0
0f0SbtoKGe41cX5LzlnX6X,423,0
0f1G5SHFoFC9lO03gHCGVS,424,0
0fABszUFNbNq9IW503Gj8v,425,0
0fX4oNGBWO3dSGUZcVdVV2,426,1
0fea68AdmYNygeTGI4RC18,427,1
0fg8CqpjdojMyXLNzM2PaJ,428,0
0fioLzGM8ngbD1w6fMmm45,429,2
0fySG6A6qLE8IvDpayb5bM,430,0
0g2Bbgy7P41pFjMWJuzsf4,431,1
0gD6lWJhbXHWNVwQziSVvl,432,1
0gO3E51A3fqp0ypJ26QbVP,433,0
0gWrMbx6pbdH3n3nsLjE55,434,1
0gb1J5UrTpzaU1s3nupgCd,435,0
0gbBzIqrECJOEPvQJIBFs5,436,1
0gplL1WMoJ6iYaPgMCL0gX,437,2
0gucTLf7trAf37Ua1uAyAu,438,0
0h7QMc9ZRzA9QJrbEHytn2,439,1
0hGH0S74Eoyv6mXZcOKtdQ,440,1
0hL9gOw6XBWsygEUcVjxEc,441,1
0hNduWmlWmEmuwEFcYvRu1,442,2
0hPLZrnDgtKxrym1BHjDhd,443,0
0hQNbQKW2dDATH1ngj4TI6,444,0
0hVXuCcriWRGvwMV1r5Yn9,445,0
0hWzB4dR1zwcokPvccww0k,446,1
0heeNYlwOGuUSe7TgUD27B,447,1
0hquQWY3xvYqN4qtiquniF,448,0
0i0wnv9UoFdZ5MfuFGQzMy,449,1
0i4UV3HjjvsUuV3BajEXoD,450,0
0jLeyuu6mtsD384054xLah,451,0
0jOfl1nZf6sVBTG08Q4brn,452,0
0jdny0dhgjUwoIp5GkqEaA,453,2
0jiPKUSdsJNCxMPHjMqptk,454,1
0jqBo5RYn008f4ZY8kPewW,455,0
0k0GtcnyQLMiXrdEDbLXmJ,456,0
0k0vFacOHNuArLWMiH60p7,457,0
0k1WUmIRnG3xU6fvvDVfRG,458,1
0k4d5YPDr1r7FX77VdqWez,459,1
0k664IuFwVP557Gnx7RhIl,460,0
0k7wmahjkn389wAZdz19Cv,461,1
0kCBorRrKZkSztd9m0QI3r,462,1
0kHyKhJMukHEPfeh8s7rdM,463,1
0kN8xEmgMW9mh7UmDYHlJP,464,1
0kdqcbwei4MDWFEX5f33yG,465,0
0kqTXMHiQiB7IECD0WwcPq,466,0
0lEjxUUlKqjqXrVlIHFduD,467,1
0lLdorYw7lVrJydTINhWdI,468,2
0lMbuWUpfTWhEmOKxppEau,469,0
0lSZh5W0wDeurkGzLYY6hf,470,1
0lTurWECr2XL607eJAj1A3,471,2
0lYBSQXN6rCTvUZvg9S0lU,472,1
0lizgQ7Qw35od7CYaoMBZb,473,1
0ll8uFnc0nANY35E0Lfxvg,474,1
0lmdsH1MIoLsMymnNpd6HU,475,1
0lnpnsrVaW9elGgRxpDCgE,476,0
0lodMO0qK83vfPiiD7FMEt,477,1
0lsRatBUs9HNIZAmoGABzk,478,2
0m2orA1i5lLZUOt9XLwSd0,479,1
0mBP9X2gPCuapvpZ7TGDk3,480,0
0mJBiaODgK0XjOLCN5fItq,481,1
0mKGwFMHzTprtS2vpR3b6s,482,1
0mL82sxCRjrs3br407IdJh,483,0
0mel2N9Ws9r4yLQn5QE21Y,484,2
0mfCH4nfpshBQR9ueZP5eP,485,2
0mflMxspEfB0VbI1kyLiAv,486,2
0mjAU3yKR1QnXnHtjGJqTM,487,0
0n2moJpAEWHwaPYYjkzMDl,488,2
0n2nEtLP3OzDdi12ziIekx,489,1
0nAZGkBGKQCXyaoSJfRhC1,490,2
0nbXyq5TXYPCO7pr3N8S4I,491,0
0nrRP2bk19rLc0orkWPQk2,492,0
0o3ua5ufFK7nfRzbDUNoGA,493,2
0oA9wBGDY4uyILLg4GymWP,494,2
0oBtwScT4B4BR5kZitNWd5,495,0
0oO1AbL92F6329z13C2qQH,496,1
0oPOuDmmkVp3h6puekhs6P,497,2
0oQCRjrWGvkqkdf82UlXI3,498,0
0oQc0F6KUE7QY7k5TU6bic,499,2
0oWraSo5ASJ0h1BEagTyEw,500,1
0oaY19dUwZimIgzn3ZZLZO,501,2
0ofHAoxe9vBkTCp2UQIavz,502,0
0ofbQMrRDsUaVKq2mGLEAb,503,1
0oiCeOPwm4zhwfyIpAE37y,504,2
0oiv4E896TUTTeQU0cmIui,505,1
0ono6UCNVZ1XqOm6j78Blu,506,0
0or0gNaKAXYYCsOrpvRzAu,507,2
0otRX6Z89qKkHkQ9OqJpKt,508,1
0pDaqgIForVNO4jrtTxcWT,509,0
0pJPdSVti6cTM1Q6xYGmcf,510,0
0pSBuHjILhNEo55xK1zrRt,511,0
0pYacDCZuRhcrwGUA5nTBe,512,0
0pk1hxhJLBSZZ5RKBhcwOa,513,0
0prNGof3XqfTvNDxHonvdK,514,1
0psS4i5YooJrXfDnGvWRLi,515,2
0q2vG0UVuy6ajjcpkQHdZM,516,1
0q75NwOoFiARAVp4EXU4Bs,517,1
0q85C1JiECyYIQthz1posA,518,1
0qOnSQQF0yzuPWsXrQ9paz,519,0
0qXP5fMhxGzxALOkXYUxfP,520,2
0qYTZCo5Bwh1nsUFGZP3zn,521,0
0qYW2jULeN9giEty0ee9Fy,522,0
0qaWEvPkts34WF68r8Dzx9,523,0
0qc4QlcCxVTGyShurEv1UU,524,0
0qxLQ6opocOGyFnlXqJ53x,525,2
0rDQZJtSGgsB2rdkObpdFa,526,0
0rFQ5cKYJ9WtHSKp9sxVYt,527,1
0rHToGels2lt8Y0mCYoF90,528,2
0rIAC4PXANcKmitJfoqmVm,529,0
0rKWJnmo6Q0ovoPOLoLm0t,530,1
0rTV5WefWd1J3OwIheTzxM,531,1
0rhI6gvOeCKA502RdJAbfs,532,0
0ri0Han4IRJhzvERHOZTMr,533,2
0rrfXLr1p1yxsUy7LrKoYT,534,0
0rt63HYAAIzUZo5O2D0uA6,535,2
0rzaRSujxA0bKyjJl6vHYq,536,1
0sKEilrw1GrBlG6qsTCrP4,537,2
0sPJELXHyWpFgkxlzvvRFI,538,1
0sSRLXxknVTQDStgU1NqpY,539,1
0sTlGEld0h8kIPZaKDYUf4,540,1
0sXvAOmXgjR2QUqLK1MltU,541,0
