item_id,track_id,track_name,artist_names,danceability,energy,valence,acousticness,tempo,cover_url,cover_url_md,spotify_url,cluster_5f
1260,1ZemPoaj7LBj1RAQrb89EC,blame it on me,post malone,0.6011976047904193,0.5885028949545078,0.2547368421052631,0.1458687810783918,0.4543860603752139,https://i.scdn.co/image/ab67616d0000b273b1c4b76e23414c9f20242268,https://i.scdn.co/image/ab67616d00001e02b1c4b76e23414c9f20242268,https://open.spotify.com/track/1ZemPoaj7LBj1RAQrb89EC,1
1261,1Znlc3UZAbSodFaMBjdpsX,love yourself interlude,xxxtentacion,0.7137724550898205,0.3269230769230769,0.4599999999999999,0.6780659716667673,0.4433823662779098,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,https://i.scdn.co/image/ab67616d00001e02806c160566580d6335d1f16c,https://open.spotify.com/track/1Znlc3UZAbSodFaMBjdpsX,2
1262,1ZvBVbsaNqHEP6ymXaPGlj,lion king on ice,j cole,0.6970059880239522,0.6629445822994211,0.2052631578947368,0.0823874148664325,0.56376398889957,https://i.scdn.co/image/ab67616d0000b2737a6aa18b884bea97981b7542,https://i.scdn.co/image/ab67616d00001e027a6aa18b884bea97981b7542,https://open.spotify.com/track/1ZvBVbsaNqHEP6ymXaPGlj,1
1263,1a0wEEHipnBR7WOHFA6ucQ,who dat boy feat aap rocky,tyler the creator aap rocky,0.665868263473054,0.4789081885856078,0.1178947368421052,0.3390291980783315,0.4153350383013198,https://i.scdn.co/image/ab67616d0000b2730f14a4f77129c75ae50809d4,https://i.scdn.co/image/ab67616d00001e020f14a4f77129c75ae50809d4,https://open.spotify.com/track/1a0wEEHipnBR7WOHFA6ucQ,1
1264,1a5Yu5L18qNxVhXx38njON,hear me now,alok zeeba bruno martini,0.7640718562874254,0.4220430107526881,0.4515789473684211,0.540237965786602,0.455129716624647,https://i.scdn.co/image/ab67616d0000b273292563f7ccd0361f68a743e1,https://i.scdn.co/image/ab67616d00001e02292563f7ccd0361f68a743e1,https://open.spotify.com/track/1a5Yu5L18qNxVhXx38njON,2
1265,1a73gcEg6h6Re6hHXoVltJ,ftcu,nicki minaj,0.931736526946108,0.4509925558312655,0.2210526315789473,0.0175981916643694,0.5941813432971179,https://i.scdn.co/image/ab67616d0000b273651e1dbc0b5218f2306181a1,https://i.scdn.co/image/ab67616d00001e02651e1dbc0b5218f2306181a1,https://open.spotify.com/track/1a73gcEg6h6Re6hHXoVltJ,1
1266,1aF9TeHZbe6OVo9dtjPuzK,junya,kanye west,0.7209580838323354,0.6908602150537634,0.3831578947368421,0.2716242608960609,0.6127727495329476,https://i.scdn.co/image/ab67616d0000b2736ba1cffc9b2c5469503430b3,https://i.scdn.co/image/ab67616d00001e026ba1cffc9b2c5469503430b3,https://open.spotify.com/track/1aF9TeHZbe6OVo9dtjPuzK,1
1267,1aKuG1GG76xPLUkjBbQo3W,ugh,bts,0.6826347305389222,0.8294044665012407,0.3168421052631579,0.039630551728425,0.7211651823771608,https://i.scdn.co/image/ab67616d0000b2738afcb7dd182cffe8d53b781e,https://i.scdn.co/image/ab67616d00001e028afcb7dd182cffe8d53b781e,https://open.spotify.com/track/1aKuG1GG76xPLUkjBbQo3W,1
1268,1aLNpg2kKvUncflV8xE5AA,linger,the cranberries,0.3449101796407187,0.4199751861042183,0.1863157894736841,0.0846007113112235,0.2910900307740675,https://i.scdn.co/image/ab67616d0000b273dec4a49bc28532de8482d761,https://i.scdn.co/image/ab67616d00001e02dec4a49bc28532de8482d761,https://open.spotify.com/track/1aLNpg2kKvUncflV8xE5AA,1
1269,1aOl53hkZGHkl2Snhr7opL,how do i say goodbye,dean lewis,0.2994011976047904,0.6401985111662531,0.38,0.2152858059377451,0.2106058682337862,https://i.scdn.co/image/ab67616d0000b273991f6658282ef028f93b11e0,https://i.scdn.co/image/ab67616d00001e02991f6658282ef028f93b11e0,https://open.spotify.com/track/1aOl53hkZGHkl2Snhr7opL,1
